Dispozice,Energetická náročnost budovy,Kauce,Měsíční poplatky,Podlaží,Provize realitní kanceláře,Vybavený,Výměra,geo-lat,geo-lng,Balkón,Sklep,Pračka,Lednice,Myčka,Cenová skupina,Výměrová skupina
2,6,0,0,0,1,1,87,50.08597,14.43578,0,0,0,0,0,5,5
4,6,0,0,13,1,1,100,50.07107,14.43651,0,0,0,0,0,5,6
14,6,0,0,8,0,2,300,49.3434,16.65987,1,0,0,0,0,5,12
3,6,0,0,11,1,1,65,50.09093,14.42826,0,0,0,0,0,5,3
5,6,0,0,11,1,1,150,50.12443,14.44348,0,0,0,0,0,5,8
2,6,0,0,11,1,1,90,50.08597,14.43578,0,0,0,0,0,5,5
4,3,0,2000,13,1,2,90,50.09432,14.458329999999998,0,0,0,0,0,5,5
14,3,0,6000,18,1,2,163,50.02486,14.20837,0,0,0,0,0,5,9
6,6,0,0,13,1,2,152,50.09983,14.43706,0,0,0,0,0,5,8
5,6,0,0,8,1,2,95,50.08338,14.47763,0,0,0,0,0,5,5
6,2,0,0,11,0,2,146,50.09063,14.34547,0,0,0,0,0,5,8
5,2,0,0,11,1,1,180,50.13367,14.41281,0,0,0,0,0,5,9
5,6,0,4500,11,1,1,105,50.08952,14.370270000000001,0,0,0,0,0,5,6
5,6,0,2800,12,1,2,96,50.061859999999996,14.36364,0,0,0,0,0,5,5
4,6,0,2000,13,1,1,116,50.077870000000004,14.425239999999999,0,0,0,0,0,5,7
3,6,0,5000,13,1,1,60,50.07385,14.394279999999998,0,0,0,0,0,5,3
5,6,0,3000,14,1,1,106,50.07107,14.43651,0,0,0,0,0,5,6
7,2,0,0,11,1,2,127,50.09783,14.38544,0,0,0,0,0,5,7
5,6,0,3000,11,1,1,92,50.07107,14.43651,0,0,0,0,0,5,5
5,6,0,800,14,1,1,120,50.072959999999995,14.443729999999999,1,0,0,0,0,5,7
4,6,0,5000,11,1,1,76,50.07437,14.40479,0,0,0,0,0,5,4
3,6,0,5000,13,1,1,150,50.1244,14.44409,0,0,0,0,0,5,8
4,6,0,0,13,1,2,116,50.07774000000001,14.42516,0,0,0,0,0,5,7
3,6,0,0,11,1,1,69,50.07762,14.43566,0,0,0,0,0,5,4
5,6,0,0,11,1,2,131,50.08025,14.419839999999999,1,0,0,0,0,5,7
14,6,0,5000,18,1,2,220,50.13024,14.340179999999998,1,0,0,0,0,5,10
5,6,0,0,14,1,1,103,50.06071,14.399820000000002,0,0,0,0,0,5,6
3,6,0,0,11,1,1,68,50.07673,14.43506,0,0,0,0,0,5,4
3,6,0,0,8,1,1,60,50.07573,14.426910000000001,1,0,0,0,0,5,3
2,6,0,0,8,1,1,50,50.0784,14.441070000000002,1,0,0,0,0,5,2
5,6,0,0,14,1,2,80,50.07403,14.44081,0,0,0,0,0,5,4
4,3,0,0,14,1,1,100,50.07107,14.43651,0,0,0,0,0,5,6
3,6,0,0,11,1,2,72,50.07884,14.45014,0,0,0,0,0,5,4
3,6,0,0,15,1,2,84,49.1915,16.60166,0,0,0,0,0,5,5
4,6,0,0,11,1,1,92,50.07107,14.43651,1,0,0,0,0,5,5
5,6,0,0,8,1,1,80,50.07747,14.41865,0,0,0,0,0,5,4
3,3,0,0,15,1,1,59,50.0485,14.44691,0,0,0,0,0,5,3
5,6,0,0,13,1,1,69,50.08999,14.42891,0,0,0,0,0,5,4
5,6,0,0,13,1,1,106,50.07107,14.43651,1,0,0,0,0,5,6
2,3,0,0,8,1,2,65,50.089859999999994,14.42866,0,0,0,0,0,5,3
3,6,0,0,11,1,1,65,50.07573,14.426910000000001,0,0,0,0,0,5,3
3,6,0,1500,13,1,0,99,50.07886,14.4254,0,0,0,0,0,5,6
