Cena,Další vybavení,Dispozice,Druh,Energetická náročnost budovy,K nastěhování,Kauce,Měsíční poplatky,Podlaží,Poznámka,Pronájem přidán,Provize realitní kanceláře,Vybavený,Výměra,data-id,data-idx,geo-lat,geo-lng,id
23 000 Kč/měsíc,"Pračka, Myčka, Lednice, Sklep, Balkón",2+kk,Pronájem,G - (neuvedeno),Ihned,40 000 Kč,2 886 Kč/měsíc,9. patro,,před 21 dny,Ano,Úplně,57 m2,3044635,16,50.09677,14.46764,#offer-16
23 000 Kč/měsíc,"Pračka, Myčka, Lednice, Sklep, Balkón",2+kk,Pronájem,G - (neuvedeno),Ihned,40 000 Kč,3 500 Kč/měsíc,3. patro,,před 24 dny,Ano,Úplně,56 m2,3039790,17,50.09507,14.45091,#offer-17
22 000 Kč/měsíc,"Pračka, Myčka, Lednice, Sklep",2+kk,Pronájem,G - (neuvedeno),Ihned,25 000 Kč,3 500 Kč/měsíc,2. patro,,před 24 dny,Ano,Úplně,55 m2,2989383,18,50.07303,14.40839,#offer-18
23 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",2+kk,Pronájem,G - (neuvedeno),Ihned,29 000 Kč,5 000 Kč/měsíc,,,před 22 dny,Ano,Úplně,88 m2,2926352,19,50.0847,14.46789,#offer-19
30 000 Kč/měsíc,Balkón,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,6. patro, + 5000 poplatky + provize RK,před 2 dny,Info u RK,Částečně,97 m2,3070113,0,50.07345,14.43431,#offer-0
35 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,6. patro," poplatky 800Kč/os, energie se převádí na nájemce",před 8 hodinami,Info u RK,Částečně,103 m2,3074573,1,50.10124,14.39807,#offer-1
30 000 Kč/měsíc,,6+1,Pronájem,G - Mimořádně nehospodárná,,,,2. patro," + poplatky 10.000,- Kč + provize RK.",před 2 dny,Ano,Částečně,158 m2,3069633,2,50.06767,14.293829999999998,#offer-2
32 990 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," + poplatky ve výši 6.000,- Kč",před 2 dny,Info u RK,Úplně,109 m2,3063973,3,50.09771,14.35322,#offer-3
32 000 Kč/měsíc,"Pračka, Myčka, Lednice",3+kk,Pronájem,G - (neuvedeno),Ihned,32 000 Kč,500 Kč/měsíc,5. patro,,před dnem,Ano,Částečně,101 m2,3072696,4,50.10238,14.42639,#offer-4
33 000 Kč/měsíc,"Sklep, Balkón",4+kk,Pronájem,B - Velmi úsporná,,,,3. patro,,před 8 dny,Info u RK,Částečně,113 m2,3066337,5,50.08729,14.32942,#offer-5
33 000 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, + poplatky,před 6 dny,Info u RK,Částečně,125 m2,3067826,6,50.07787,14.42524,#offer-6
32 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,6. patro, + poplatky + provize RK,před 9 dny,Info u RK,Částečně,101 m2,3066012,7,50.0998,14.42744,#offer-7
32 000 Kč/měsíc,Balkón,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro,,před 6 dny,Info u RK,Částečně,109 m2,3067757,8,50.10534000000001,14.39514,#offer-8
30 000 Kč/měsíc,,2+1,Pronájem,G - Mimořádně nehospodárná,,,,1. patro," poplatky činí 1500, elektřina a plyn se převádí na nájemce",před 13 dny,Ano,Vůbec,90 m2,3050563,9,50.08051,14.44536,#offer-9
31 200 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,4. patro," nájem 1200 EUR, poplatky 70 EUR",před 3 dny,Info u RK,Úplně,126 m2,3068936,10,50.07747,14.41865,#offer-10
32 500 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,2. patro," +3500,- Kč pop. za služby + 2600,- Kč energie, bez provize RK!",před 17 dny,Info u RK,Úplně,103 m2,3062192,11,50.07791,14.44082,#offer-11
30 000 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,4. patro," Poplatky 1500 Kč, převod energií na nájemce",před 2 dny,Info u RK,Úplně,87 m2,3069482,12,50.07747,14.41865,#offer-12
32 500 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, + poplatky,před 16 dny,Info u RK,Úplně,103 m2,3062836,13,50.07791,14.441729999999998,#offer-13
32 500 Kč/měsíc,,3+1,Pronájem,E - Nehospodárná,,,,2. patro," neplatíte provizi RK,",před 17 dny,Info u RK,Částečně,103 m2,2347794,14,50.07791,14.441729999999998,#offer-14
35 000 Kč/měsíc,,3+kk,Pronájem,C - Úsporná,,,,2. patro," + poplatky, 5000 Kč + elektřina",před hodinou,Info u RK,Částečně,103 m2,3064587,15,50.1134,14.37966,#offer-15
31 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, poplatky 5000 Kč + arkovací místo 2000 Kč/měsíc,před 21 dny,Info u RK,Částečně,69 m2,3060454,16,50.08986,14.42866,#offer-16
31 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, poplatky 5000 Kč + parkovací místo 2000Kč//měsíc,před 21 dny,Info u RK,Částečně,65 m2,3060453,17,50.08986,14.42866,#offer-17
31 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, Neplatíte provizi.,před 9 dny,Info u RK,Částečně,65 m2,1684760,18,50.08986,14.42866,#offer-18
30 000 Kč/měsíc,,4+kk,Pronájem,D - Méně úsporná,,,,4. patro," + zálohy na služby 2.500,-Kč (2os., každá další osoba +800,-Kč)  + vlastní spotřeba el. a plynu",před 21 dny,Ano,Úplně,161 m2,3060600,19,50.0744,14.42555,#offer-19
35 000 Kč/měsíc,,dům,Pronájem,B - Velmi úsporná,,,,Přízemí,,před měsícem,Info u RK,Vůbec,140 m2,3055436,0,49.99853,14.58358,#offer-0
31 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro, + energie 5000 Kč + poplatky 2000 Kč,před 21 dny,Info u RK,Částečně,69 m2,3060455,1,50.08986,14.42866,#offer-1
35 000 Kč/měsíc,"Sklep, Balkón",4+kk,Pronájem,G - Mimořádně nehospodárná,,,,4. patro," + popl., 0",před 21 dny,Info u RK,Částečně,114 m2,3060619,2,50.09879,14.34759,#offer-2
30 000 Kč/měsíc,,4+kk,Pronájem,G - (neuvedeno),,,,1. patro," + poplatky, 7000",před hodinou,Info u RK,Částečně,93 m2,3068405,3,50.04734000000001,14.303120000000002,#offer-3
32 000 Kč/měsíc,Sklep,3+kk,Pronájem,C - Úsporná,,,,7. patro," + poplatky 7.000,-",před měsícem,Info u RK,Úplně,88 m2,3050626,4,50.08478,14.46982,#offer-4
32 000 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, Kauce ve výši dvou měsíčních nájmů + provize RK ve výši jednoho měsíčního nájmu. Poplatky 3800 + El.,před měsícem,Ano,Částečně,100 m2,3052584,5,50.08185,14.41912,#offer-5
32 000 Kč/měsíc,Sklep,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,2. patro," + energie (cca 2000,-)",před měsícem,Info u RK,Vůbec,95 m2,3055447,6,50.09123,14.42217,#offer-6
30 000 Kč/měsíc,"Sklep, Balkón",2+kk,Pronájem,G - (neuvedeno),,,,2. patro,,před 23 dny,Info u RK,Úplně,58 m2,3059759,7,50.07837,14.44483,#offer-7
35 000 Kč/měsíc,,3+1,Pronájem,G - (neuvedeno),,,,4. patro,,před měsícem,Info u RK,Částečně,102 m2,3057344,8,50.07537,14.44904,#offer-8
32 000 Kč/měsíc,,2+1,Pronájem,G - (neuvedeno),,,,5. patro,,před měsícem,Info u RK,Částečně,87 m2,3057559,9,50.07537,14.44904,#offer-9
30 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",3+kk,Pronájem,C - Úsporná,Ihned,36 000 Kč,35 000 Kč/měsíc,3. patro,,před 2 měsíci,Ano,Úplně,69 m2,3041651,10,50.05634000000001,14.38099,#offer-10
30 100 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, + energie,před 2 měsíci,Info u RK,Úplně,49 m2,3039940,11,50.06662,14.42308,#offer-11
31 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,4. patro, Neplatíte provizi. K nájmu + 5.000 + 2.000 služby,před měsícem,Info u RK,Částečně,69 m2,2701036,12,50.08986,14.42866,#offer-12
33 000 Kč/měsíc,Sklep,3+kk,Pronájem,B - Velmi úsporná,,,,2. patro, + poplatky,před 5 měsíci,Info u RK,Úplně,87 m2,2986093,13,50.09677,14.46764,#offer-13
30 000 Kč/měsíc,"Pračka, Lednice, Balkón",4+kk,Pronájem,G - Mimořádně nehospodárná,Ihned,60 000 Kč,5 000 Kč/měsíc,3. patro,,před 7 měsíci,Ano,Úplně,140 m2,2922137,14,49.21709,16.6247,#offer-14
